ticker,entry,sl,tp,shares,dist_to_ema20,rr,sig_bar,entry_bar,bars_ago,candle_1h_pct,vol_1h,vol_1h_ma20,atrp,rebound_pct,touch_depth_pct,score
5214.T,6146.0,5975.28,6453.3,29,0.59,1.8,2026-02-20 13:00,2026-02-20 11:00,0,0.49,145700,90560,2.31,0.93,0.28,6.077
7278.T,5990.0,5910.27,6133.51,62,0.05,1.8,2026-02-20 09:00,2026-02-20 11:00,1,0.17,13100,9625,1.08,0.31,0.19,4.299
